Event.Date,Location,Country,Airport.Code,Total.Fatal.Injuries
11/27/2002,"Bastian, VA",United States,BLF,2
11/27/2002,"McAlester, OK",United States,MLC,5
,,,,
,,,,
,,,,
11/25/2002,"Homer, LA",United States,5F4,2
,,,,
11/24/2002,"Union City, CA",United States,PAO,1
11/24/2002,"Salem, UT",United States,U77,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/20/2002,"Kentwood, LA",United States,LS88,1
,,,,
,,,,
11/19/2002,"Massena, NY",United States,MSS,1
11/19/2002,"Moncks Corner, SC",United States,50J,3
,,,,
11/19/2002,"Cornelia, GA",United States,50A,1
,,,,
11/17/2002,"NewPhiladelphia, OH",United States,PHD,2
,,,,
,,,,
,,,,
,,,,
,,,,
11/15/2002,"Fairfield, NJ",United States,CDW,2
11/15/2002,"Fairfield, NJ",United States,CDW,2
11/15/2002,"Climax, NC",United States,3A4,1
,,,,
,,,,
,,,,
,,,,
,,,,
11/14/2002,"Rochester, NY",United States,ROC,1
11/13/2002,"San Andreas, CA",United States,0O3,2
,,,,
,,,,
,,,,
,,,,
11/12/2002,"Vineyard Haven, MA",United States,MVY,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/10/2002,"Columbia, SC",United States,CUB,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/8/2002,"East Hampton, NY",United States,HTO,1
,,,,
,,,,
11/8/2002,"Taos, NM",United States,SKX,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/5/2002,"Bozeman, MT",United States,BZN,1
,,,,
,,,,
11/4/2002,"Fond du Lac, WI",United States,FLD,2
11/3/2002,"Memphis, TN",United States,MO1,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/31/2002,"Accident, MD",United States,2G4,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/31/2002,"Fernandina Bch, FL",United States,55J,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/25/2002,"Eveleth, MN",United States,EVM,8
10/25/2002,"Greensboro, NC",United States,GSO,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/23/2002,"Jesup, GA",United States,JES,2
10/23/2002,"Spanish Fort, AL",United States,BFM,1
10/22/2002,"Merritt Island, FL",United States,COI,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/20/2002,"Agua Dulce, CA",United States,L70,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/18/2002,"Missouri Valley, IA",United States,K35,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/15/2002,"Mount Sterling, KY",United States,IOB,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/12/2002,"Phoenix, AZ",United States,KDVT,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/8/2002,"Lakeview, AR",United States,3M0,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/6/2002,"Tuskegee, AL",United States,06A,2
,,,,
,,,,
,,,,
,,,,
10/5/2002,"Valkaria, FL",United States,X59,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/3/2002,"Bradford, PA",United States,BFD,1
,,,,
10/3/2002,"Texarkana, AR",United States,TXK,1
,,,,
10/2/2002,"West Carrollton, OH",United States,I73,1
,,,,
,,,,
,,,,
10/2/2002,"Garden City, KS",United States,GCK,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/30/2002,"West Creek, NJ",United States,31E,1
,,,,
,,,,
,,,,
9/29/2002,"Circleville, OH",United States,CYO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/27/2002,"Virgil, NY",United States,NO3,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/25/2002,"Yellow Pine, ID",United States,3U2,2
9/25/2002,"Gilford, NH",United States,LCI,2
,,,,
,,,,
,,,,
,,,,
,,,,
9/25/2002,"Sheridan, IN",United States,TYQ,2
,,,,
,,,,
,,,,
,,,,
9/24/2002,"Ankeny, IA",United States,IKV,1
,,,,
,,,,
,,,,
,,,,
9/23/2002,"Milton, FL",United States,2R4,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/20/2002,"Burnsville, NC",United States,2NC0,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/17/2002,"Carlsbad, CA",United States,KCRQ,3
9/17/2002,"Carlsbad, CA",United States,KCRQ,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/15/2002,"Twin Falls, ID",United States,TWF,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/14/2002,"Delta, CO",United States,1V9,1
,,,,
,,,,
,,,,
,,,,
,,,,
9/13/2002,"Reno, NV",United States,4SD,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/9/2002,"Arlington, WA",United States,AWO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/8/2002,"Byram Township, NJ",United States,12N,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/6/2002,"Flemingsburg, KY",United States,FGX,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/4/2002,"Crescent City, CA",United States,CEC,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/3/2002,"Cottage Grove, WI",United States,87Y,1
,,,,
,,,,
9/2/2002,"Swanzey, NH",United States,EEN,7
,,,,
,,,,
,,,,
,,,,
9/2/2002,"Decatur, TX",United States,8F7,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
9/1/2002,"Greeneville, TN",United States,GCY,1
9/1/2002,"Zephyrhills, FL",United States,ZPH,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/30/2002,"Lexington, KY",United States,LEX,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/25/2002,"Petersburg, WV",United States,W99,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/21/2002,"Mayville, NY",United States,D79,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/20/2002,"Rosenburg, TX",United States,T54,1
,,,,
,,,,
,,,,
,,,,
,,,,
8/19/2002,"Echo Summit, CA",United States,TVL,2
,,,,
,,,,
,,,,
,,,,
8/18/2002,"Deerfield, VA",United States,NONE,2
8/18/2002,"Tampa, FL",United States,TPF,2
8/18/2002,"STANARDSVILLE, VA",United States,CHO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/17/2002,"Plainville, CT",United States,4B8,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/15/2002,"Brunswick, GA",United States,BQK,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/14/2002,"Skwentna, AK",United States,SKW,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/11/2002,"Centerville, TN",United States,GHM,3
8/11/2002,"Bishop, CA",United States,BIH,4
,,,,
,,,,
,,,,
8/11/2002,"Hillman, MI",United States,PVT,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/10/2002,"Hilltown, PA",United States,0PA0,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/7/2002,"Festus, MO",United States,FES,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/5/2002,"Idaho Falls, ID",United States,IDA,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8/4/2002,"Benton Harbor, MI",United States,BEH,3
,,,,
,,,,
,,,,
,,,,
,,,,
8/3/2002,"Cheraw, SC",United States,47J,1
,,,,
,,,,
,,,,
,,,,
,,,,
8/3/2002,"Caro, MI",United States,78D,1
8/3/2002,"Spartanburg, SC",United States,SPA,2
,,,,
,,,,
,,,,
,,,,
8/2/2002,"AVALON, CA",United States,AVX,2
,,,,
8/2/2002,"Rantoul, IL",United States,TIP,1
,,,,
8/1/2002,"Marietta, PA",United States,N71,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/31/2002,"Greeley, CO",United States,GXY,1
,,,,
,,,,
7/31/2002,"Indianola, MS",United States,IDL,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/26/2002,"Clear Spring, MD",United States,HGR,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/23/2002,"Kneeland, CA",United States,ACV,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/21/2002,"Bloomington, IL",United States,BMI,2
,,,,
,,,,
,,,,
7/20/2002,"Jackson, NJ",United States,N12,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/18/2002,"Grindstone, PA",United States,AFJ,2
,,,,
,,,,
,,,,
,,,,
,,,,
7/18/2002,"Columbus, IN",United States,BAK,1
7/18/2002,"Lee's Summit, MO",United States,LXT,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/17/2002,"Duncanville, AL",United States,TCL,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/16/2002,"Ogden, UT",United States,OGD,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/13/2002,"Tucson, AZ",United States,RYN,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/12/2002,"Boca Raton, FL",United States,FXE,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/8/2002,"Denton, TX",United States,DTO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/6/2002,"Leesburg, VA",United States,JYO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/4/2002,"San Dimas, CA",United States,POC,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/3/2002,"Sprakers, NY",United States,NONE,1
7/3/2002,"Edenton, NC",United States,NC56,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7/2/2002,"Lebanon, TN",United States,M54,2
,,,,
,,,,
,,,,
7/1/2002,"Farmingdale, NJ",United States,BLM,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/29/2002,"PALMER, AK",United States,PAAQ,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/26/2002,"Owatonna, MN",United States,OWA,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/21/2002,"Atlanta, ID",United States,55H,2
,,,,
,,,,
,,,,
,,,,
6/21/2002,"Norfolk, NE",United States,OFK,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/20/2002,"Trenton, GA",United States,0GE3,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/19/2002,"Naples, FL",United States,APF,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/16/2002,"Urbana, IL",United States,C16,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/14/2002,"Brownsville, CA",United States,Q21,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/13/2002,"Bainbridge, GA",United States,NONE,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/11/2002,"Hot Springs, SD",United States,HSR,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6/6/2002,"Palmetto, FL",United States,NONE,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/23/2002,"Ball Ground, GA",United States,JZP,3
,,,,
,,,,
,,,,
,,,,
5/22/2002,"Mobile, AZ",United States,1AZO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/20/2002,"Stephenville, TX",United States,SEP,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/17/2002,"Olar, SC",United States,PVT,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/16/2002,"Hattiesburg, MS",United States,HBG,2
,,,,
,,,,
,,,,
,,,,
,,,,
5/15/2002,"Merritt Island, FL",United States,COI,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/7/2002,"Tunis, Tunisia",Tunisia,TUN,14
,,,,
,,,,
,,,,
5/5/2002,"Perry, GA",United States,PXE,1
,,,,
,,,,
5/5/2002,"Mount Pleasant, MI",United States,3BS,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
5/3/2002,"Sheboygan, WI",United States,SBM,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/30/2002,"Hooker, OK",United States,N/A,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/26/2002,"USAF Academy, CO",United States,AFF,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/23/2002,"Marthasville, MO",United States,M06,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/18/2002,"Pembroke Pines, FL",United States,HWO,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/12/2002,"OXFORD, CT",United States,OXC,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/10/2002,"Juneau, AK",United States,JNU,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/8/2002,"Blowing Rock, NC",United States,NC14,1
,,,,
,,,,
,,,,
4/6/2002,"Sevierville, TN",United States,KGKT,1
,,,,
,,,,
4/6/2002,"Minden, LA",United States,F24,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/5/2002,"Lakeland, FL",United States,LAL,1
4/5/2002,"Lakeland, FL",United States,LAL,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/1/2002,"Gainesville, GA",United States,GVL,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/31/2002,"Apex, NC",United States,RDU,2
,,,,
3/30/2002,"Parker, AZ",United States,KP20,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/17/2002,"Daleville, IN",United States,AID,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/16/2002,"Citra, FL",United States,FD14,1
,,,,
,,,,
3/15/2002,"Jacumba, CA",United States,L78,1
3/15/2002,"MARANA, AZ",United States,AVQ,1
3/15/2002,"MARANA, AZ",United States,AVQ,1
3/15/2002,"Ocean City, MD",United States,OXB,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/9/2002,"Teterboro, NJ",United States,TEB,1
,,,,
,,,,
3/9/2002,"Laurens, SC",United States,GRD,2
,,,,
,,,,
,,,,
,,,,
3/8/2002,"Pell City, AL",United States,PLR,1
,,,,
,,,,
,,,,
,,,,
3/7/2002,"Niles, MI",United States,3TR,1
,,,,
3/6/2002,"Bunnell, FL",United States,X47,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3/4/2002,"Macon, GA",United States,MAC,2
,,,,
,,,,
,,,,
,,,,
3/3/2002,"Mexia, TX",United States,LXY,1
,,,,
,,,,
,,,,
,,,,
3/1/2002,"Austin, TX",United States,AUS,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/26/2002,"Pomona, CA",United States,POC,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/17/2002,"Exeter, RI",United States,PVD,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/16/2002,"New Smyrna Bch., FL",United States,7FL6,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/12/2002,"Scappoose, OR",United States,SPB,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/10/2002,"Cedar Key, FL",United States,KCDK,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/6/2002,"Atlanta, GA",United States,PDK,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/31/2002,"Chester, CT",United States,3B9,2
1/30/2002,"San Diego, CA",United States,NKX,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/27/2002,"Clarksville, VA",United States,W63,1
1/27/2002,"Alexandria, MN",United States,AXN,2
,,,,
,,,,
1/26/2002,"Immokalee, FL",United States,KIMM,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/25/2002,"Chittenden, VT",United States,RUT,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/22/2002,"Danville, KY",United States,DVK,1
,,,,
,,,,
1/22/2002,"Farmington, NM",United States,FMN,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/18/2002,"CLEVELAND, OH",United States,NONE,2
,,,,
,,,,
,,,,
,,,,
1/17/2002,"Sinton, TX",United States,T69,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/13/2002,"Ilwaco, WA",United States,7W1,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/12/2002,"Rush City, MN",United States,ROS,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/5/2002,"BUENA PARK, CA",United States,KFUL,1
1/5/2002,"Oak Grove, LA",United States,27A7,1
,,,,
,,,,
1/5/2002,"Tampa, FL",United States,PIE,1
,,,,
1/4/2002,"Petaluma, CA",United States,O69,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/1/2002,"Hollywood, FL",United States,FLL,1
,,,,
12/31/2001,"Armonk, NY",United States,HPN,1
,,,,
,,,,
12/30/2001,"Milford, CT",United States,BDR,1
,,,,
,,,,
,,,,
,,,,
,,,,
12/29/2001,"Gainesville, GA",United States,GVL,1
12/29/2001,"Lilburn, GA",United States,PDK,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/14/2001,"San Jacinto, CA",United States,HMT,1
,,,,
,,,,
,,,,
,,,,
,,,,
12/12/2001,"Jacksonville, FL",United States,JAX,4
12/12/2001,"Raleigh, NC",United States,RDU,3
,,,,
,,,,
,,,,
12/12/2001,"Montgomery, AL",United States,MGM,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/9/2001,"Marina, CA",United States,OAR,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/5/2001,"Prescott, AZ",United States,KPRC,2
,,,,
12/4/2001,"Johnson City, TN",United States,OA4,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
